,gender,mental_health,order,x,y,testimonials_short,display_testimonial
0,Man,0,1,38,0,0,0
1,Man,1,1,44,0,0,0
2,Man,1,1,45,0,0,0
3,Man,2,1,50,0,0,0
4,Man,2,1,51,0,0,0
5,Man,2,1,52,0,0,0
6,Man,2,1,53,0,0,0
7,Man,2,1,54,0,0,0
8,Man,3,1,56,0,0,0
9,Man,3,1,57,0,0,0
10,Man,3,1,58,0,0,0
11,Man,3,1,59,0,0,0
12,Man,3,1,60,0,0,0
13,Man,3,1,56,1,0,0
14,Man,3,1,57,1,0,0
15,Man,3,1,58,1,0,0
16,Man,3,1,59,1,0,0
17,Man,3,1,60,1,0,0
18,Man,3,1,56,2,0,0
19,Man,3,1,57,2,0,0
20,Man,3,1,58,2,0,0
21,Man,3,1,59,2,0,0
22,Man,4,1,62,0,0,0
23,Man,4,1,63,0,0,0
24,Man,4,1,64,0,0,0
25,Man,4,1,65,0,0,0
26,Man,4,1,66,0,0,0
27,Man,4,1,62,1,0,0
28,Man,4,1,63,1,0,0
29,Man,4,1,64,1,0,0
30,Man,4,1,65,1,0,0
31,Man,4,1,66,1,0,0
32,Man,4,1,62,2,0,0
33,Man,4,1,63,2,0,0
34,Man,4,1,64,2,0,0
35,Man,4,1,65,2,0,0
36,Man,4,1,66,2,0,0
37,Man,4,1,62,3,0,0
38,Man,4,1,63,3,0,0
39,Man,4,1,64,3,0,0
40,Man,4,1,65,3,0,0
41,Man,4,1,66,3,0,0
42,Man,4,1,62,4,0,0
43,Man,4,1,63,4,0,0
44,Man,5,1,68,0,0,0
45,Man,5,1,69,0,0,0
46,Man,5,1,70,0,0,0
47,Man,5,1,71,0,0,0
48,Man,5,1,72,0,0,0
49,Man,5,1,68,1,0,0
50,Man,5,1,69,1,0,0
51,Man,5,1,70,1,0,0
52,Man,5,1,71,1,0,0
53,Man,5,1,72,1,0,0
54,Man,5,1,68,2,0,0
55,Man,5,1,69,2,0,0
56,Man,5,1,70,2,0,0
57,Man,5,1,71,2,0,0
58,Man,5,1,72,2,0,0
59,Man,5,1,68,3,0,0
60,Man,5,1,69,3,0,0
61,Woman,0,0,0,0,0,0
62,Woman,0,0,1,0,0,0
63,Woman,0,0,2,0,0,0
64,Woman,0,0,3,0,0,0
65,Woman,0,0,4,0,0,0
66,Woman,0,0,0,1,0,0
67,Woman,0,0,1,1,0,0
68,Woman,0,0,2,1,0,0
69,Woman,0,0,3,1,0,0
70,Woman,0,0,4,1,0,0
71,Woman,0,0,0,2,"One thing that's negatively<br>affected me...is not being<br>able to engage in the<br>therapeutic support that I had<br>before. I was going to be re-<br>assessed…and since I'm not<br>'urgent', that's not going to<br>happen.",1
72,Woman,0,0,1,2,My mental health has been<br>severely affected by the<br>lockdown.,1
73,Woman,0,0,2,2,0,0
74,Woman,0,0,3,2,0,0
75,Woman,1,0,6,0,0,0
76,Woman,1,0,7,0,0,0
77,Woman,1,0,8,0,0,0
78,Woman,1,0,9,0,0,0
79,Woman,1,0,10,0,0,0
80,Woman,1,0,6,1,0,0
81,Woman,1,0,7,1,0,0
82,Woman,1,0,8,1,0,0
83,Woman,1,0,9,1,0,0
84,Woman,1,0,10,1,0,0
85,Woman,1,0,6,2,0,0
86,Woman,1,0,7,2,0,0
87,Woman,1,0,8,2,0,0
88,Woman,1,0,9,2,0,0
89,Woman,1,0,10,2,0,0
90,Woman,1,0,6,3,0,0
91,Woman,1,0,7,3,0,0
92,Woman,1,0,8,3,0,0
93,Woman,1,0,9,3,0,0
94,Woman,1,0,10,3,0,0
95,Woman,1,0,6,4,0,0
96,Woman,1,0,7,4,0,0
97,Woman,1,0,8,4,0,0
98,Woman,1,0,9,4,0,0
99,Woman,1,0,10,4,0,0
100,Woman,1,0,6,5,"I am struggling to work from<br>home, maintain my<br>relationship, keep my home,<br>and be a superwoman. It’s hard<br>not to break",1
101,Woman,1,0,7,5,I...haven’t seen family or<br>friends since lockdown as I<br>live alone so my mental health<br>has drastically declined in<br>the past two months.,1
102,Woman,2,0,12,0,0,0
103,Woman,2,0,13,0,0,0
104,Woman,2,0,14,0,0,0
105,Woman,2,0,15,0,0,0
106,Woman,2,0,16,0,0,0
107,Woman,2,0,12,1,0,0
108,Woman,2,0,13,1,0,0
109,Woman,2,0,14,1,0,0
110,Woman,2,0,15,1,0,0
111,Woman,2,0,16,1,0,0
112,Woman,2,0,12,2,0,0
113,Woman,2,0,13,2,0,0
114,Woman,2,0,14,2,0,0
115,Woman,2,0,15,2,0,0
116,Woman,2,0,16,2,0,0
117,Woman,2,0,12,3,0,0
118,Woman,2,0,13,3,0,0
119,Woman,2,0,14,3,0,0
120,Woman,2,0,15,3,0,0
121,Woman,2,0,16,3,0,0
122,Woman,2,0,12,4,0,0
123,Woman,2,0,13,4,0,0
124,Woman,2,0,14,4,0,0
125,Woman,2,0,15,4,0,0
126,Woman,2,0,16,4,0,0
127,Woman,2,0,12,5,0,0
128,Woman,2,0,13,5,0,0
129,Woman,2,0,14,5,0,0
130,Woman,2,0,15,5,0,0
131,Woman,2,0,16,5,0,0
132,Woman,2,0,12,6,0,0
133,Woman,2,0,13,6,0,0
134,Woman,2,0,14,6,0,0
135,Woman,2,0,15,6,0,0
136,Woman,2,0,16,6,0,0
137,Woman,2,0,12,7,0,0
138,Woman,2,0,13,7,0,0
139,Woman,2,0,14,7,0,0
140,Woman,2,0,15,7,0,0
141,Woman,2,0,16,7,0,0
142,Woman,2,0,12,8,0,0
143,Woman,2,0,13,8,0,0
144,Woman,2,0,14,8,0,0
145,Woman,2,0,15,8,0,0
146,Woman,2,0,16,8,0,0
147,Woman,2,0,12,9,0,0
148,Woman,2,0,13,9,0,0
149,Woman,2,0,14,9,0,0
150,Woman,2,0,15,9,I am experiencing relatively<br>extreme mood swings and it<br>feels harder to manage my<br>emotions.,1
151,Woman,2,0,16,9,"I feel anxious about other<br>issues that are being ignored,<br>and that the government is<br>saying just to use common<br>sense, which is subjective and<br>a lot of people are not<br>following the rules anyway.",1
152,Woman,2,0,12,10,"It’s hard working from home,<br>exhausting. And whilst it’s<br>nice to spend time going for<br>walks, I’d rather be getting<br>on with my life but the future<br>is so unknown",1
153,Woman,2,0,13,10,0,0
154,Woman,2,0,14,10,0,0
155,Woman,2,0,15,10,0,0
156,Woman,2,0,16,10,0,0
157,Woman,2,0,12,11,0,0
158,Woman,2,0,13,11,I have enjoyed the time to<br>slow down and think more and<br>I’ve realised that my<br>lifestyle will change after<br>lockdown.,1
159,Woman,2,0,14,11,0,0
160,Woman,2,0,15,11,0,0
161,Woman,2,0,16,11,0,0
162,Woman,2,0,12,12,0,0
163,Woman,2,0,13,12,0,0
164,Woman,2,0,14,12,0,0
165,Woman,2,0,15,12,0,0
166,Woman,2,0,16,12,"Every day is like an emotional<br>rollercoaster. I'm absolutely<br>fine and grateful one day, and<br>the next depressed and wish<br>life would be normal again",1
167,Woman,2,0,12,13,"I struggle a bit with anxiety<br>and social anxiety, being at<br>home has increased this on the<br>basis I’m not out everyday<br>building resistance to this<br>struggle.",1
168,Woman,2,0,13,13,0,0
169,Woman,2,0,14,13,0,0
170,Woman,2,0,15,13,0,0
171,Woman,2,0,16,13,0,0
172,Woman,2,0,12,14,0,0
173,Woman,2,0,13,14,Just because people aren’t<br>pensioners doesn’t mean<br>they’re not vulnerable. Living<br>alone has been incredibly<br>difficult and I’m not someone<br>that has ever experienced<br>issues surrounding my mental<br>health.,1
174,Woman,2,0,14,14,0,0
175,Woman,2,0,15,14,0,0
176,Woman,2,0,16,14,0,0
177,Woman,2,0,12,15,I've lost the daily<br>distractions that really help<br>to keep my mental health<br>afloat,1
178,Woman,2,0,13,15,0,0
179,Woman,2,0,14,15,"It has led to a lot of time to<br>think about past traumatic<br>experiences that I had been<br>able to mask and push to the<br>back of my mind, using<br>everyday life and distraction<br>as a coping mechanism.",1
180,Woman,2,0,15,15,0,0
181,Woman,2,0,16,15,0,0
182,Woman,2,0,12,16,0,0
183,Woman,3,0,18,0,0,0
184,Woman,3,0,19,0,0,0
185,Woman,3,0,20,0,0,0
186,Woman,3,0,21,0,0,0
187,Woman,3,0,22,0,0,0
188,Woman,3,0,18,1,0,0
189,Woman,3,0,19,1,0,0
190,Woman,3,0,20,1,0,0
191,Woman,3,0,21,1,0,0
192,Woman,3,0,22,1,0,0
193,Woman,3,0,18,2,0,0
194,Woman,3,0,19,2,0,0
195,Woman,3,0,20,2,0,0
196,Woman,3,0,21,2,0,0
197,Woman,3,0,22,2,0,0
198,Woman,3,0,18,3,0,0
199,Woman,3,0,19,3,0,0
200,Woman,3,0,20,3,0,0
201,Woman,3,0,21,3,0,0
202,Woman,3,0,22,3,0,0
203,Woman,3,0,18,4,0,0
204,Woman,3,0,19,4,0,0
205,Woman,3,0,20,4,0,0
206,Woman,3,0,21,4,0,0
207,Woman,3,0,22,4,0,0
208,Woman,3,0,18,5,0,0
209,Woman,3,0,19,5,0,0
210,Woman,3,0,20,5,0,0
211,Woman,3,0,21,5,0,0
212,Woman,3,0,22,5,0,0
213,Woman,3,0,18,6,0,0
214,Woman,3,0,19,6,0,0
215,Woman,3,0,20,6,0,0
216,Woman,3,0,21,6,0,0
217,Woman,3,0,22,6,0,0
218,Woman,3,0,18,7,0,0
219,Woman,3,0,19,7,0,0
220,Woman,3,0,20,7,0,0
221,Woman,3,0,21,7,0,0
222,Woman,3,0,22,7,0,0
223,Woman,3,0,18,8,0,0
224,Woman,3,0,19,8,0,0
225,Woman,3,0,20,8,0,0
226,Woman,3,0,21,8,0,0
227,Woman,3,0,22,8,0,0
228,Woman,3,0,18,9,0,0
229,Woman,3,0,19,9,0,0
230,Woman,3,0,20,9,0,0
231,Woman,3,0,21,9,0,0
232,Woman,3,0,22,9,0,0
233,Woman,3,0,18,10,0,0
234,Woman,3,0,19,10,0,0
235,Woman,3,0,20,10,0,0
236,Woman,3,0,21,10,0,0
237,Woman,3,0,22,10,0,0
238,Woman,3,0,18,11,0,0
239,Woman,3,0,19,11,0,0
240,Woman,3,0,20,11,0,0
241,Woman,3,0,21,11,0,0
242,Woman,3,0,22,11,0,0
243,Woman,3,0,18,12,0,0
244,Woman,3,0,19,12,0,0
245,Woman,3,0,20,12,0,0
246,Woman,3,0,21,12,0,0
247,Woman,3,0,22,12,0,0
248,Woman,3,0,18,13,0,0
249,Woman,3,0,19,13,0,0
250,Woman,3,0,20,13,0,0
251,Woman,3,0,21,13,0,0
252,Woman,3,0,22,13,0,0
253,Woman,3,0,18,14,0,0
254,Woman,3,0,19,14,0,0
255,Woman,3,0,20,14,0,0
256,Woman,3,0,21,14,0,0
257,Woman,3,0,22,14,0,0
258,Woman,3,0,18,15,0,0
259,Woman,3,0,19,15,0,0
260,Woman,3,0,20,15,0,0
261,Woman,3,0,21,15,0,0
262,Woman,3,0,22,15,0,0
263,Woman,3,0,18,16,My family is in another<br>country and I wish I could<br>visit as I miss them very<br>much.,1
264,Woman,3,0,19,16,0,0
265,Woman,3,0,20,16,0,0
266,Woman,3,0,21,16,0,0
267,Woman,3,0,22,16,0,0
268,Woman,3,0,18,17,0,0
269,Woman,3,0,19,17,0,0
270,Woman,3,0,20,17,0,0
271,Woman,3,0,21,17,0,0
272,Woman,3,0,22,17,0,0
273,Woman,3,0,18,18,0,0
274,Woman,3,0,19,18,0,0
275,Woman,3,0,20,18,0,0
276,Woman,3,0,21,18,0,0
277,Woman,3,0,22,18,0,0
278,Woman,3,0,18,19,0,0
279,Woman,3,0,19,19,0,0
280,Woman,3,0,20,19,0,0
281,Woman,3,0,21,19,0,0
282,Woman,3,0,22,19,0,0
283,Woman,3,0,18,20,0,0
284,Woman,3,0,19,20,0,0
285,Woman,3,0,20,20,0,0
286,Woman,3,0,21,20,0,0
287,Woman,3,0,22,20,0,0
288,Woman,3,0,18,21,0,0
289,Woman,3,0,19,21,0,0
290,Woman,3,0,20,21,0,0
291,Woman,3,0,21,21,0,0
292,Woman,3,0,22,21,0,0
293,Woman,3,0,18,22,0,0
294,Woman,3,0,19,22,0,0
295,Woman,3,0,20,22,0,0
296,Woman,3,0,21,22,0,0
297,Woman,3,0,22,22,"I have had time to slow my<br>life down & evaluate where I<br>spend my time. I didn't<br>realise how much I needed to<br>do this. I feel grateful for<br>the small things & have<br>reconneted with my partner, we<br>had nearly split up before<br>this.",1
298,Woman,3,0,18,23,0,0
299,Woman,3,0,19,23,0,0
300,Woman,3,0,20,23,0,0
301,Woman,3,0,21,23,0,0
302,Woman,3,0,22,23,0,0
303,Woman,3,0,18,24,0,0
304,Woman,3,0,19,24,0,0
305,Woman,3,0,20,24,0,0
306,Woman,3,0,21,24,0,0
307,Woman,3,0,22,24,0,0
308,Woman,3,0,18,25,I worry about the impact of<br>protective gear on my ability<br>to communicate with others<br>because I am deaf.,1
309,Woman,3,0,19,25,0,0
310,Woman,3,0,20,25,0,0
311,Woman,3,0,21,25,0,0
312,Woman,3,0,22,25,0,0
313,Woman,3,0,18,26,0,0
314,Woman,3,0,19,26,0,0
315,Woman,3,0,20,26,0,0
316,Woman,3,0,21,26,0,0
317,Woman,3,0,22,26,0,0
318,Woman,3,0,18,27,0,0
319,Woman,3,0,19,27,0,0
320,Woman,3,0,20,27,0,0
321,Woman,3,0,21,27,0,0
322,Woman,3,0,22,27,0,0
323,Woman,3,0,18,28,0,0
324,Woman,3,0,19,28,0,0
325,Woman,3,0,20,28,0,0
326,Woman,3,0,21,28,0,0
327,Woman,3,0,22,28,0,0
328,Woman,4,0,24,0,0,0
329,Woman,4,0,25,0,0,0
330,Woman,4,0,26,0,0,0
331,Woman,4,0,27,0,0,0
332,Woman,4,0,28,0,0,0
333,Woman,4,0,24,1,0,0
334,Woman,4,0,25,1,0,0
335,Woman,4,0,26,1,0,0
336,Woman,4,0,27,1,0,0
337,Woman,4,0,28,1,0,0
338,Woman,4,0,24,2,0,0
339,Woman,4,0,25,2,0,0
340,Woman,4,0,26,2,0,0
341,Woman,4,0,27,2,0,0
342,Woman,4,0,28,2,0,0
343,Woman,4,0,24,3,0,0
344,Woman,4,0,25,3,0,0
345,Woman,4,0,26,3,0,0
346,Woman,4,0,27,3,0,0
347,Woman,4,0,28,3,0,0
348,Woman,4,0,24,4,0,0
349,Woman,4,0,25,4,0,0
350,Woman,4,0,26,4,0,0
351,Woman,4,0,27,4,0,0
352,Woman,4,0,28,4,0,0
353,Woman,4,0,24,5,0,0
354,Woman,4,0,25,5,0,0
355,Woman,4,0,26,5,0,0
356,Woman,4,0,27,5,0,0
357,Woman,4,0,28,5,0,0
358,Woman,4,0,24,6,0,0
359,Woman,4,0,25,6,0,0
360,Woman,4,0,26,6,0,0
361,Woman,4,0,27,6,0,0
362,Woman,4,0,28,6,0,0
363,Woman,4,0,24,7,0,0
364,Woman,4,0,25,7,0,0
365,Woman,4,0,26,7,0,0
366,Woman,4,0,27,7,0,0
367,Woman,4,0,28,7,0,0
368,Woman,4,0,24,8,0,0
369,Woman,4,0,25,8,0,0
370,Woman,4,0,26,8,0,0
371,Woman,4,0,27,8,0,0
372,Woman,4,0,28,8,0,0
373,Woman,4,0,24,9,0,0
374,Woman,4,0,25,9,0,0
375,Woman,4,0,26,9,0,0
376,Woman,4,0,27,9,0,0
377,Woman,4,0,28,9,0,0
378,Woman,4,0,24,10,0,0
379,Woman,4,0,25,10,0,0
380,Woman,4,0,26,10,0,0
381,Woman,4,0,27,10,0,0
382,Woman,4,0,28,10,0,0
383,Woman,4,0,24,11,0,0
384,Woman,4,0,25,11,0,0
385,Woman,4,0,26,11,"Whilst the situation has given<br>me more time at home as a<br>family unit which I have<br>loved, I have adjusted my<br>working hours to ensure I<br>can...balance my husband's<br>working hours and childcare.<br>This juggle has been quite a<br>strain at times.",1
386,Woman,4,0,27,11,0,0
387,Woman,4,0,28,11,0,0
388,Woman,4,0,24,12,0,0
389,Woman,4,0,25,12,0,0
390,Woman,4,0,26,12,0,0
391,Woman,4,0,27,12,0,0
392,Woman,4,0,28,12,0,0
393,Woman,4,0,24,13,0,0
394,Woman,4,0,25,13,I have been feeling a little<br>panicky about coming out of<br>the lockdown as I have found<br>it difficult to get a clear<br>picture of the advice given.,1
395,Woman,4,0,26,13,0,0
396,Woman,4,0,27,13,0,0
397,Woman,4,0,28,13,0,0
398,Woman,4,0,24,14,0,0
399,Woman,4,0,25,14,0,0
400,Woman,4,0,26,14,0,0
401,Woman,4,0,27,14,I have differing days - some<br>seem to be bright and positive<br>and others much more negative<br>with a lot of anxiety.,1
402,Woman,4,0,28,14,0,0
403,Woman,4,0,24,15,0,0
404,Woman,4,0,25,15,0,0
405,Woman,4,0,26,15,I feel a lot more relaxed<br>spending time at home.,1
406,Woman,4,0,27,15,0,0
407,Woman,4,0,28,15,0,0
408,Woman,4,0,24,16,0,0
409,Woman,4,0,25,16,0,0
410,Woman,4,0,26,16,0,0
411,Woman,4,0,27,16,0,0
412,Woman,4,0,28,16,What I have found more<br>stressful is the virtual<br>pressures of needing to stay<br>connected. It's actually been<br>more difficult for me to find<br>moments of peace. It's also<br>been harder to jusify taking<br>time off.,1
413,Woman,4,0,24,17,0,0
414,Woman,4,0,25,17,0,0
415,Woman,4,0,26,17,0,0
416,Woman,4,0,27,17,0,0
417,Woman,4,0,28,17,0,0
418,Woman,4,0,24,18,0,0
419,Woman,4,0,25,18,0,0
420,Woman,4,0,26,18,0,0
421,Woman,4,0,27,18,0,0
422,Woman,4,0,28,18,0,0
423,Woman,4,0,24,19,0,0
424,Woman,4,0,25,19,0,0
425,Woman,4,0,26,19,0,0
426,Woman,4,0,27,19,0,0
427,Woman,4,0,28,19,0,0
428,Woman,4,0,24,20,0,0
429,Woman,4,0,25,20,0,0
430,Woman,4,0,26,20,0,0
431,Woman,4,0,27,20,0,0
432,Woman,5,0,30,0,0,0
433,Woman,5,0,31,0,0,0
434,Woman,5,0,32,0,0,0
435,Woman,5,0,33,0,0,0
436,Woman,5,0,34,0,0,0
437,Woman,5,0,30,1,0,0
438,Woman,5,0,31,1,0,0
439,Woman,5,0,32,1,0,0
440,Woman,5,0,33,1,0,0
441,Woman,5,0,34,1,0,0
442,Woman,5,0,30,2,0,0
443,Woman,5,0,31,2,0,0
444,Woman,5,0,32,2,0,0
445,Woman,5,0,33,2,0,0
446,Woman,5,0,34,2,0,0
447,Woman,5,0,30,3,0,0
448,Woman,5,0,31,3,0,0
449,Woman,5,0,32,3,0,0
450,Woman,5,0,33,3,0,0
451,Woman,5,0,34,3,0,0
452,Woman,5,0,30,4,0,0
453,Woman,5,0,31,4,0,0
454,Woman,5,0,32,4,0,0
455,Woman,5,0,33,4,0,0
456,Woman,5,0,34,4,0,0
457,Woman,5,0,30,5,0,0
458,Woman,5,0,31,5,0,0
459,Woman,5,0,32,5,0,0
460,Woman,5,0,33,5,0,0
461,Woman,5,0,34,5,0,0
462,Woman,5,0,30,6,0,0
463,Woman,5,0,31,6,0,0
464,Woman,5,0,32,6,0,0
465,Woman,5,0,33,6,0,0
466,Woman,5,0,34,6,0,0
467,Woman,5,0,30,7,0,0
468,Woman,5,0,31,7,0,0
469,Woman,5,0,32,7,0,0
470,Woman,5,0,33,7,0,0
471,Woman,5,0,34,7,0,0
472,Woman,5,0,30,8,0,0
473,Woman,5,0,31,8,0,0
474,Woman,5,0,32,8,0,0
475,Woman,5,0,33,8,0,0
476,Woman,5,0,34,8,0,0
477,Woman,5,0,30,9,0,0
478,Woman,5,0,31,9,0,0
479,Woman,5,0,32,9,0,0
480,Woman,5,0,33,9,0,0
481,Woman,5,0,34,9,My husband works 12+ hour days<br>in London so it’s been<br>wonderful having him work from<br>home ie eat with myself and<br>the children.,1
482,Woman,5,0,30,10,0,0
483,Woman,5,0,31,10,0,0
484,Woman,5,0,32,10,0,0
485,Woman,5,0,33,10,0,0
486,Woman,5,0,34,10,0,0
487,Woman,5,0,30,11,0,0
488,Woman,5,0,31,11,0,0
489,Woman,5,0,32,11,0,0
490,Woman,5,0,33,11,0,0
491,Woman,5,0,34,11,0,0
